Protein A	Protein B	Rank
BAX_HUMAN	BAX_HUMAN	5-star
BAX_HUMAN	BCL2_HUMAN	5-star
BAX_HUMAN	BID_HUMAN	5-star
BAX_HUMAN	ERN1_HUMAN	5-star
BAX_HUMAN	KCNA3_HUMAN	5-star
BAX_HUMAN	MCL1_HUMAN	5-star
BAX_HUMAN	MOAP1_HUMAN	5-star
BAX_HUMAN	P53_HUMAN	5-star
BAX_HUMAN	SHLB1_HUMAN	5-star
BAX_HUMAN	VDAC1_HUMAN	5-star
BAX_HUMAN	XRCC6_HUMAN	5-star
BAX_HUMAN	ADT1_HUMAN	5-star
BAX_HUMAN	APR_HUMAN	5-star
BAX_HUMAN	CRYAA_HUMAN	5-star
BAX_HUMAN	CRYAB_HUMAN	5-star
BAX_HUMAN	R144B_HUMAN	5-star
BAX_HUMAN	PP1A_HUMAN	5-star
BAX_HUMAN	B2LA1_HUMAN	5-star
BAX_HUMAN	PARK7_HUMAN	5-star
BAX_HUMAN	BAD_HUMAN	5-star
BAX_HUMAN	1433S_HUMAN	5-star
BAX_HUMAN	UHRF2_HUMAN	5-star
BAX_HUMAN	CH60_HUMAN	5-star
BAX_HUMAN	SYUA_HUMAN	5-star
BAX_HUMAN	BBC3_HUMAN	5-star
BAX_HUMAN	TOM40_HUMAN	5-star
BAX_HUMAN	ASC_HUMAN	5-star
BAX_HUMAN	NOL3_HUMAN	5-star
BAX_HUMAN	UBC_HUMAN	5-star
BAX_HUMAN	BBC3B_HUMAN	5-star
BAX_HUMAN	CASP9_HUMAN	5-star
BAX_HUMAN	MYC_HUMAN	5-star
BAX_HUMAN	PRS6A_HUMAN	5-star
BAX_HUMAN	XIAP_HUMAN	5-star
BAX_HUMAN	HDAC6_HUMAN	5-star
BAX_HUMAN	PRS8_HUMAN	5-star
BAX_HUMAN	TOM22_HUMAN	5-star
BAX_HUMAN	HSP74_HUMAN	5-star
BAX_HUMAN	JMY_HUMAN	5-star
BAX_HUMAN	TF65_HUMAN	5-star
BAX_HUMAN	ASPP2_HUMAN	5-star
BAX_HUMAN	ASPP1_HUMAN	5-star
BAX_HUMAN	EP300_HUMAN	5-star
BAX_HUMAN	CBP_HUMAN	5-star
BAX_HUMAN	AKT1_HUMAN	5-star
BAX_HUMAN	SP1_HUMAN	5-star
BAX_HUMAN	PO4F1_HUMAN	5-star
BAX_HUMAN	CLUS_HUMAN	5-star
BAX_HUMAN	MAX_HUMAN	5-star
BAX_HUMAN	PO4F2_HUMAN	5-star
BAX_HUMAN	HUNIN_HUMAN	5-star
BAX_HUMAN	BI1_HUMAN	5-star
BAX_HUMAN	CYC_HUMAN	5-star
BAX_HUMAN	XRCC5_HUMAN	5-star
BAX_HUMAN	KPCE_HUMAN	5-star
BAX_HUMAN	CASP3_HUMAN	5-star
BAX_HUMAN	APAF_HUMAN	5-star
BAX_HUMAN	JUN_HUMAN	5-star
BAX_HUMAN	UVRAG_HUMAN	5-star
BAX_HUMAN	PIN1_HUMAN	5-star
BAX_HUMAN	GSK3B_HUMAN	5-star
BAX_HUMAN	TOM20_HUMAN	5-star
BAX_HUMAN	APRIO_HUMAN	5-star
BAX_HUMAN	PRIO_HUMAN	5-star
BAX_HUMAN	IRF3_HUMAN	5-star
BAX_HUMAN	SIR1_HUMAN	5-star
BAX_HUMAN	BRD7_HUMAN	5-star
BAX_HUMAN	PK3CD_HUMAN	5-star
BAX_HUMAN	CTBP1_HUMAN	5-star
BAX_HUMAN	PK3CA_HUMAN	5-star
BAX_HUMAN	PK3CB_HUMAN	5-star
BAX_HUMAN	PK3CG_HUMAN	5-star
BAX_HUMAN	TNFA_HUMAN	5-star
BAX_HUMAN	PARG_HUMAN	5-star
BAX_HUMAN	GPX1_HUMAN	5-star
BAX_HUMAN	VEGFA_HUMAN	5-star
BAX_HUMAN	DBLOH_HUMAN	5-star
BCL2_HUMAN	B2CL1_HUMAN	5-star
BCL2_HUMAN	B2L11_HUMAN	5-star
BCL2_HUMAN	BAD_HUMAN	5-star
BCL2_HUMAN	BAK_HUMAN	5-star
BCL2_HUMAN	BAXA_HUMAN	5-star
BCL2_HUMAN	BAX_HUMAN	5-star
BCL2_HUMAN	BBC3B_HUMAN	5-star
BCL2_HUMAN	BBC3_HUMAN	5-star
BCL2_HUMAN	BCL2_HUMAN	5-star
BCL2_HUMAN	BECN1_HUMAN	5-star
BCL2_HUMAN	BIK_HUMAN	5-star
BCL2_HUMAN	BMF_HUMAN	5-star
BCL2_HUMAN	BNIPL_HUMAN	5-star
BCL2_HUMAN	MOAP1_HUMAN	5-star
BCL2_HUMAN	NALP1_HUMAN	5-star
BCL2_HUMAN	PP1A_HUMAN	5-star
BCL2_HUMAN	RAD9A_HUMAN	5-star
BCL2_HUMAN	SEC20_HUMAN	5-star
BCL2_HUMAN	SMN_HUMAN	5-star
BCL2_HUMAN	SPNS1_HUMAN	5-star
BCL2_HUMAN	UBC_HUMAN	5-star
BCL2_HUMAN	BFAR_HUMAN	5-star
BCL2_HUMAN	HRK_HUMAN	5-star
BCL2_HUMAN	P53_HUMAN	5-star
BCL2_HUMAN	PRKN2_HUMAN	5-star
BCL2_HUMAN	TPIP1_HUMAN	5-star
BCL2_HUMAN	BID_HUMAN	5-star
BCL2_HUMAN	BIM_HUMAN	5-star
BCL2_HUMAN	BAG1_HUMAN	5-star
BCL2_HUMAN	RAF1_HUMAN	5-star
BCL2_HUMAN	AMRA1_HUMAN	5-star
BCL2_HUMAN	PPID_HUMAN	5-star
BCL2_HUMAN	APR_HUMAN	5-star
BCL2_HUMAN	BCLX_HUMAN	5-star
BCL2_HUMAN	CPT1A_HUMAN	5-star
BCL2_HUMAN	PP1B_HUMAN	5-star
BCL2_HUMAN	CAN2_HUMAN	5-star
BCL2_HUMAN	PPIF_HUMAN	5-star
BCL2_HUMAN	BAG3_HUMAN	5-star
BCL2_HUMAN	KEAP1_HUMAN	5-star
BCL2_HUMAN	MDM4_HUMAN	5-star
BCL2_HUMAN	NMT2_HUMAN	5-star
BCL2_HUMAN	CDK1_HUMAN	5-star
BCL2_HUMAN	KAPCA_HUMAN	5-star
BCL2_HUMAN	BAK2_HUMAN	5-star
BCL2_HUMAN	BCLF1_HUMAN	5-star
BCL2_HUMAN	IRS1_HUMAN	5-star
BCL2_HUMAN	CASP3_HUMAN	5-star
BCL2_HUMAN	MYB_HUMAN	5-star
BCL2_HUMAN	BAG4_HUMAN	5-star
BCL2_HUMAN	CASP8_HUMAN	5-star
BCL2_HUMAN	BNIP3_HUMAN	5-star
