Protein A	Protein B	Rank
CASP1_HUMAN	PAAF1_HUMAN	5-star
CASP1_HUMAN	PRS6B_HUMAN	5-star
CASP1_HUMAN	PSD10_HUMAN	5-star
CASP1_HUMAN	ASC_HUMAN	5-star
CASP1_HUMAN	RIPK2_HUMAN	5-star
CASP1_HUMAN	ATX3_HUMAN	5-star
CASP1_HUMAN	NEDD4_HUMAN	5-star
CASP1_HUMAN	AP2A_HUMAN	5-star
CASP1_HUMAN	CASP3_HUMAN	5-star
CASP1_HUMAN	CARD8_HUMAN	5-star
CASP1_HUMAN	B2CL1_HUMAN	5-star
CASP1_HUMAN	CAR17_HUMAN	5-star
CASP1_HUMAN	FGF2_HUMAN	5-star
CASP1_HUMAN	ANDR_HUMAN	5-star
CASP1_HUMAN	CASP4_HUMAN	5-star
CASP1_HUMAN	PRKN2_HUMAN	5-star
CASP1_HUMAN	TAU_HUMAN	5-star
CASP1_HUMAN	PA24A_HUMAN	5-star
CASP1_HUMAN	CASPE_HUMAN	5-star
CASP1_HUMAN	NALP3_HUMAN	5-star
CASP1_HUMAN	IL18_HUMAN	5-star
CASP1_HUMAN	MEFV_HUMAN	5-star
CASP1_HUMAN	EGFR_HUMAN	5-star
CASP1_HUMAN	TRAF2_HUMAN	5-star
CASP1_HUMAN	CASP2_HUMAN	5-star
CASP1_HUMAN	NALP1_HUMAN	5-star
CASP1_HUMAN	IL33_HUMAN	5-star
CASP1_HUMAN	BID_HUMAN	5-star
CASP1_HUMAN	ICAL_HUMAN	5-star
CASP1_HUMAN	IL1B_HUMAN	5-star
CASP1_HUMAN	PKN1_HUMAN	5-star
CASP1_HUMAN	UBC_HUMAN	5-star
CASP1_HUMAN	BAP31_HUMAN	5-star
CASP1_HUMAN	TIRAP_HUMAN	5-star
CASP1_HUMAN	NF2L2_HUMAN	5-star
CASP1_HUMAN	PSN1_HUMAN	5-star
CASP1_HUMAN	IL1A_HUMAN	5-star
CASP1_HUMAN	ATN1_HUMAN	5-star
CASP1_HUMAN	PANX1_HUMAN	5-star
CASP1_HUMAN	HD_HUMAN	5-star
CASP1_HUMAN	UCHL5_HUMAN	5-star
CASP1_HUMAN	MYD88_HUMAN	5-star
CASP1_HUMAN	GDIS_HUMAN	5-star
CASP3_HUMAN	1433E_HUMAN	5-star
CASP3_HUMAN	ACINU_HUMAN	5-star
CASP3_HUMAN	BIRC4_HUMAN	5-star
CASP3_HUMAN	BIRC6_HUMAN	5-star
CASP3_HUMAN	CASP3_HUMAN	5-star
CASP3_HUMAN	PKN1_HUMAN	5-star
CASP3_HUMAN	VIME_HUMAN	5-star
CASP3_HUMAN	XIAP_HUMAN	5-star
CASP3_HUMAN	GDIR2_HUMAN	5-star
CASP3_HUMAN	GRAP1_HUMAN	5-star
CASP3_HUMAN	ROCK1_HUMAN	5-star
CASP3_HUMAN	BIRC2_HUMAN	5-star
CASP3_HUMAN	BIRC3_HUMAN	5-star
CASP3_HUMAN	CASP9_HUMAN	5-star
CASP3_HUMAN	DFFA_HUMAN	5-star
CASP3_HUMAN	PI51A_HUMAN	5-star
CASP3_HUMAN	SLK_HUMAN	5-star
CASP3_HUMAN	SP1_HUMAN	5-star
CASP3_HUMAN	DSG3_HUMAN	5-star
CASP3_HUMAN	NMT2_HUMAN	5-star
CASP3_HUMAN	A4_HUMAN	5-star
CASP3_HUMAN	CDC42_HUMAN	5-star
CASP3_HUMAN	CRYAB_HUMAN	5-star
CASP3_HUMAN	GELS_HUMAN	5-star
CASP3_HUMAN	TOP1_HUMAN	5-star
CASP3_HUMAN	GOGA3_HUMAN	5-star
CASP3_HUMAN	KPCZ_HUMAN	5-star
CASP3_HUMAN	CASP8_HUMAN	5-star
CASP3_HUMAN	DBLOH_HUMAN	5-star
CASP3_HUMAN	GORS1_HUMAN	5-star
CASP3_HUMAN	AKAP8_HUMAN	5-star
CASP3_HUMAN	PARP1_HUMAN	5-star
CASP3_HUMAN	RAD51_HUMAN	5-star
CASP3_HUMAN	MLH1_HUMAN	5-star
CASP3_HUMAN	BCAR1_HUMAN	5-star
CASP3_HUMAN	RABE1_HUMAN	5-star
CASP3_HUMAN	PTBP1_HUMAN	5-star
CASP3_HUMAN	SPTN1_HUMAN	5-star
CASP3_HUMAN	BLM_HUMAN	5-star
CASP3_HUMAN	ADDA_HUMAN	5-star
CASP3_HUMAN	APAF_HUMAN	5-star
CASP3_HUMAN	LYN_HUMAN	5-star
CASP3_HUMAN	RAC1_HUMAN	5-star
CASP3_HUMAN	EIF3J_HUMAN	5-star
CASP3_HUMAN	MDM4_HUMAN	5-star
CASP3_HUMAN	PAXI_HUMAN	5-star
CASP3_HUMAN	B2L11_HUMAN	5-star
CASP3_HUMAN	BRCA1_HUMAN	5-star
CASP3_HUMAN	E2AK2_HUMAN	5-star
CASP3_HUMAN	HNRPU_HUMAN	5-star
CASP3_HUMAN	MEF2A_HUMAN	5-star
CASP3_HUMAN	MET_HUMAN	5-star
CASP3_HUMAN	UBC_HUMAN	5-star
CASP3_HUMAN	CFLAR_HUMAN	5-star
CASP3_HUMAN	RFC1_HUMAN	5-star
CASP3_HUMAN	MYL3_HUMAN	5-star
CASP3_HUMAN	RASA1_HUMAN	5-star
CASP3_HUMAN	SRF_HUMAN	5-star
CASP3_HUMAN	VAV_HUMAN	5-star
CASP3_HUMAN	GATA1_HUMAN	5-star
CASP3_HUMAN	KPCT_HUMAN	5-star
CASP3_HUMAN	PSIP1_HUMAN	5-star
CASP3_HUMAN	NEDD4_HUMAN	5-star
CASP3_HUMAN	JIP3_HUMAN	5-star
CASP3_HUMAN	UBE4B_HUMAN	5-star
CASP3_HUMAN	CASP6_HUMAN	5-star
CASP3_HUMAN	CASPA_HUMAN	5-star
CASP3_HUMAN	DFFB_HUMAN	5-star
CASP3_HUMAN	CASP1_HUMAN	5-star
CASP3_HUMAN	AIFM1_HUMAN	5-star
CASP3_HUMAN	PKN2_HUMAN	5-star
CASP3_HUMAN	PSME3_HUMAN	5-star
CASP3_HUMAN	BIRC7_HUMAN	5-star
CASP3_HUMAN	BIRC5_HUMAN	5-star
CASP3_HUMAN	PYR1_HUMAN	5-star
CASP3_HUMAN	SRBP2_HUMAN	5-star
CASP3_HUMAN	BCL2_HUMAN	5-star
CASP3_HUMAN	PA24A_HUMAN	5-star
CASP3_HUMAN	PSN2_HUMAN	5-star
CASP3_HUMAN	NGF_HUMAN	5-star
CASP3_HUMAN	STK24_HUMAN	5-star
CASP3_HUMAN	CADH1_HUMAN	5-star
CASP3_HUMAN	AP2A_HUMAN	5-star
CASP3_HUMAN	GRAB_HUMAN	5-star
CASP3_HUMAN	IF2A_HUMAN	5-star
CASP3_HUMAN	TAU_HUMAN	5-star
CASP3_HUMAN	USO1_HUMAN	5-star
CASP3_HUMAN	M3K14_HUMAN	5-star
CASP3_HUMAN	DCTN1_HUMAN	5-star
CASP3_HUMAN	HMGB1_HUMAN	5-star
CASP3_HUMAN	CASP7_HUMAN	5-star
CASP3_HUMAN	CYC_HUMAN	5-star
CASP3_HUMAN	PDE5A_HUMAN	5-star
CASP3_HUMAN	FBW1A_HUMAN	5-star
CASP3_HUMAN	PDE10_HUMAN	5-star
CASP3_HUMAN	HEY2_HUMAN	5-star
CASP3_HUMAN	BAP31_HUMAN	5-star
CASP3_HUMAN	RBX1_HUMAN	5-star
CASP3_HUMAN	IF4G2_HUMAN	5-star
CASP3_HUMAN	SYSM_HUMAN	5-star
CASP3_HUMAN	FBW1B_HUMAN	5-star
CASP3_HUMAN	THA11_HUMAN	5-star
CASP3_HUMAN	AKT2_HUMAN	5-star
CASP3_HUMAN	DBNL_HUMAN	5-star
CASP3_HUMAN	AKT3_HUMAN	5-star
CASP3_HUMAN	PRKDC_HUMAN	5-star
CASP3_HUMAN	TNFA_HUMAN	5-star
CASP3_HUMAN	GLRX1_HUMAN	5-star
CASP3_HUMAN	WEE1_HUMAN	5-star
CASP3_HUMAN	PTMA_HUMAN	5-star
CASP3_HUMAN	PSN1_HUMAN	5-star
CASP3_HUMAN	HSPB1_HUMAN	5-star
CASP3_HUMAN	AKT1_HUMAN	5-star
CASP3_HUMAN	MDM2_HUMAN	5-star
CASP3_HUMAN	NUMA1_HUMAN	5-star
CASP3_HUMAN	CASP2_HUMAN	5-star
CASP3_HUMAN	NF2L2_HUMAN	5-star
CASP3_HUMAN	DSG1_HUMAN	5-star
CASP3_HUMAN	TNR1A_HUMAN	5-star
CASP3_HUMAN	CDC27_HUMAN	5-star
CASP3_HUMAN	CH60_HUMAN	5-star
CASP3_HUMAN	BMX_HUMAN	5-star
CASP3_HUMAN	CH10_HUMAN	5-star
CASP3_HUMAN	DCC_HUMAN	5-star
CASP3_HUMAN	PARG_HUMAN	5-star
CASP3_HUMAN	TRAF3_HUMAN	5-star
CASP3_HUMAN	DEDD_HUMAN	5-star
CASP3_HUMAN	HIP1_HUMAN	5-star
CASP3_HUMAN	NFAC2_HUMAN	5-star
CASP3_HUMAN	PAK2_HUMAN	5-star
CASP3_HUMAN	IL16_HUMAN	5-star
CASP3_HUMAN	HD_HUMAN	5-star
CASP3_HUMAN	LPAR1_HUMAN	5-star
CASP3_HUMAN	LPAR3_HUMAN	5-star
CASP3_HUMAN	IL18_HUMAN	5-star
CASP3_HUMAN	CSEN_HUMAN	5-star
CASP3_HUMAN	IF4B_HUMAN	5-star
CASP3_HUMAN	RBX2_HUMAN	5-star
CASP3_HUMAN	LMNB1_HUMAN	5-star
CASP3_HUMAN	HCLS1_HUMAN	5-star
CASP3_HUMAN	SRP72_HUMAN	5-star
CASP3_HUMAN	BID_HUMAN	5-star
CASP3_HUMAN	MCL1_HUMAN	5-star
CASP3_HUMAN	DYNA_HUMAN	5-star
CASP3_HUMAN	VDP_HUMAN	5-star
CASP3_HUMAN	RB_HUMAN	5-star
CASP3_HUMAN	CDN1A_HUMAN	5-star
CASP3_HUMAN	ICAL_HUMAN	5-star
CASP3_HUMAN	BAX_HUMAN	5-star
CASP3_HUMAN	1433G_HUMAN	5-star
CASP3_HUMAN	TGM2_HUMAN	5-star
CASP3_HUMAN	PICAL_HUMAN	5-star
CASP3_HUMAN	TRAF1_HUMAN	5-star
CASP3_HUMAN	STK3_HUMAN	5-star
CASP3_HUMAN	FYN_HUMAN	5-star
CASP3_HUMAN	STK4_HUMAN	5-star
CASP3_HUMAN	CTNB1_HUMAN	5-star
CASP3_HUMAN	TNR16_HUMAN	5-star
CASP3_HUMAN	ATN1_HUMAN	5-star
CASP3_HUMAN	SRBP1_HUMAN	5-star
CASP3_HUMAN	ANDR_HUMAN	5-star
CASP3_HUMAN	LIMK1_HUMAN	5-star
CASP3_HUMAN	GDIS_HUMAN	5-star
CASP3_HUMAN	WNK3_HUMAN	5-star
CASP3_HUMAN	NDUS1_HUMAN	5-star
CASP3_HUMAN	SPTA2_HUMAN	5-star
CASP3_HUMAN	NUCB2_HUMAN	5-star
CASP3_HUMAN	MK14_HUMAN	5-star
CASP3_HUMAN	BEX3_HUMAN	5-star
CASP3_HUMAN	MST4_HUMAN	5-star
CASP3_HUMAN	B2CL1_HUMAN	5-star
CASP3_HUMAN	M4K1_HUMAN	5-star
CASP3_HUMAN	IMB1_HUMAN	5-star
CASP3_HUMAN	CASP4_HUMAN	5-star
CASP3_HUMAN	LATS2_HUMAN	5-star
CASP3_HUMAN	GAS2_HUMAN	5-star
CASP3_HUMAN	LATS1_HUMAN	5-star
CASP3_HUMAN	DP13A_HUMAN	5-star
CASP3_HUMAN	SRC_HUMAN	5-star
CASP3_HUMAN	H2AX_HUMAN	5-star
CASP3_HUMAN	IL1B_HUMAN	5-star
CASP3_HUMAN	SAV1_HUMAN	5-star
CASP3_HUMAN	FADD_HUMAN	5-star
CASP9_HUMAN	APAF_HUMAN	5-star
CASP9_HUMAN	BIRC4_HUMAN	5-star
CASP9_HUMAN	BIRC6_HUMAN	5-star
CASP9_HUMAN	NOD1_HUMAN	5-star
CASP9_HUMAN	XIAP_HUMAN	5-star
CASP9_HUMAN	BCLX_HUMAN	5-star
CASP9_HUMAN	BIRC2_HUMAN	5-star
CASP9_HUMAN	CASP3_HUMAN	5-star
CASP9_HUMAN	CYC_HUMAN	5-star
CASP9_HUMAN	RB_HUMAN	5-star
CASP9_HUMAN	ILK_HUMAN	5-star
CASP9_HUMAN	KPCZ_HUMAN	5-star
CASP9_HUMAN	B2CL1_HUMAN	5-star
CASP9_HUMAN	CARD4_HUMAN	5-star
CASP9_HUMAN	CASP7_HUMAN	5-star
CASP9_HUMAN	DBLOH_HUMAN	5-star
CASP9_HUMAN	BIRC3_HUMAN	5-star
CASP9_HUMAN	NALP1_HUMAN	5-star
CASP9_HUMAN	CH60_HUMAN	5-star
CASP9_HUMAN	DESP_HUMAN	5-star
CASP9_HUMAN	MP2K2_HUMAN	5-star
CASP9_HUMAN	ABL1_HUMAN	5-star
CASP9_HUMAN	CASP9_HUMAN	5-star
CASP9_HUMAN	GMEB1_HUMAN	5-star
CASP9_HUMAN	BIRC7_HUMAN	5-star
CASP9_HUMAN	UBC_HUMAN	5-star
CASP9_HUMAN	MK01_HUMAN	5-star
CASP9_HUMAN	BIRC5_HUMAN	5-star
CASP9_HUMAN	BAX_HUMAN	5-star
CASP9_HUMAN	CASP6_HUMAN	5-star
CASP9_HUMAN	BCL2_HUMAN	5-star
CASP9_HUMAN	BIRC8_HUMAN	5-star
CASP9_HUMAN	CAN2_HUMAN	5-star
CASP9_HUMAN	BAXA_HUMAN	5-star
CASP9_HUMAN	SRF_HUMAN	5-star
CASP9_HUMAN	MK03_HUMAN	5-star
CASP9_HUMAN	HIP1_HUMAN	5-star
CASP9_HUMAN	DCC_HUMAN	5-star
CASP9_HUMAN	VIME_HUMAN	5-star
CASP9_HUMAN	MZB1_HUMAN	5-star
CASP9_HUMAN	CASPA_HUMAN	5-star
CASP9_HUMAN	GRAB_HUMAN	5-star
CASP9_HUMAN	AKT1_HUMAN	5-star
CASP9_HUMAN	CARD8_HUMAN	5-star
CASP9_HUMAN	BCL10_HUMAN	5-star
CASP9_HUMAN	BRCA1_HUMAN	5-star
CASP9_HUMAN	SQSTM_HUMAN	5-star
CASP9_HUMAN	TERA_HUMAN	5-star
CASP9_HUMAN	AKT2_HUMAN	5-star
CASP9_HUMAN	HSPB1_HUMAN	5-star
CASP9_HUMAN	MP2K1_HUMAN	5-star
CASP9_HUMAN	IF4G1_HUMAN	5-star
CASP9_HUMAN	DYR1A_HUMAN	5-star
CASP9_HUMAN	BIRC1_HUMAN	5-star
CASP9_HUMAN	LYN_HUMAN	5-star
CASP9_HUMAN	TNR1A_HUMAN	5-star
CASP9_HUMAN	PK3CA_HUMAN	5-star
CASP9_HUMAN	PK3CB_HUMAN	5-star
CASP9_HUMAN	PK3CD_HUMAN	5-star
CASP9_HUMAN	PK3CG_HUMAN	5-star
CATA_HUMAN	CATA_HUMAN	5-star
CATA_HUMAN	TBA8_HUMAN	5-star
CATA_HUMAN	ABL1_HUMAN	5-star
CATA_HUMAN	RPC6_HUMAN	5-star
CATA_HUMAN	IMB1_HUMAN	5-star
CATA_HUMAN	E2F4_HUMAN	5-star
CATA_HUMAN	SUMO4_HUMAN	5-star
CATA_HUMAN	ECHP_HUMAN	5-star
CATA_HUMAN	A4_HUMAN	5-star
CATA_HUMAN	UBP53_HUMAN	5-star
CATA_HUMAN	PEX5_HUMAN	5-star
CATA_HUMAN	SODM_HUMAN	5-star
CATA_HUMAN	TLR10_HUMAN	5-star
CATA_HUMAN	UBC_HUMAN	5-star
CATA_HUMAN	PSA1_HUMAN	5-star
CATA_HUMAN	IMA7_HUMAN	5-star
CATA_HUMAN	FOXO3_HUMAN	5-star
CATA_HUMAN	KEAP1_HUMAN	5-star
CATA_HUMAN	ABL2_HUMAN	5-star
CATA_HUMAN	SODE_HUMAN	5-star
CATA_HUMAN	SODC_HUMAN	5-star
CATA_HUMAN	ATM_HUMAN	5-star
CATA_HUMAN	TYSD1_HUMAN	5-star
CATA_HUMAN	ADH1G_HUMAN	5-star
CATA_HUMAN	ALDH2_HUMAN	5-star
CATA_HUMAN	N6AM1_HUMAN	5-star
CATA_HUMAN	EI2BB_HUMAN	5-star
CATA_HUMAN	ANMX_HUMAN	5-star
CATA_HUMAN	HEMK_HUMAN	5-star
CATA_HUMAN	PTN11_HUMAN	5-star
CATA_HUMAN	GPX4_HUMAN	5-star
CATA_HUMAN	GPX1_HUMAN	5-star
CATA_HUMAN	GPX5_HUMAN	5-star
CATA_HUMAN	LCMT1_HUMAN	5-star
CATA_HUMAN	XDH_HUMAN	5-star
CATA_HUMAN	KYNU_HUMAN	5-star
CATA_HUMAN	3HAO_HUMAN	5-star
CATA_HUMAN	ANM2_HUMAN	5-star
CATA_HUMAN	ANM4_HUMAN	5-star
CATA_HUMAN	ANM6_HUMAN	5-star
CATA_HUMAN	RRMJ1_HUMAN	5-star
CATA_HUMAN	RRMJ2_HUMAN	5-star
CATA_HUMAN	WBS22_HUMAN	5-star
CCS_HUMAN	CCS_HUMAN	5-star
CCS_HUMAN	SODC_HUMAN	5-star
CCS_HUMAN	UBC_HUMAN	5-star
CCS_HUMAN	APBA1_HUMAN	5-star
CCS_HUMAN	XIAP_HUMAN	5-star
CCS_HUMAN	1433G_HUMAN	5-star
CHP1_HUMAN	PRS23_HUMAN	5-star
CHP1_HUMAN	G3P_HUMAN	5-star
CHP1_HUMAN	SL9A4_HUMAN	5-star
CHP1_HUMAN	SL9A1_HUMAN	5-star
CHP1_HUMAN	SL9A2_HUMAN	5-star
CHP1_HUMAN	SL9A3_HUMAN	5-star
CHP1_HUMAN	CALL3_HUMAN	5-star
CHP1_HUMAN	KIF1B_HUMAN	5-star
CHP1_HUMAN	ST17B_HUMAN	5-star
CHP1_HUMAN	PLCG1_HUMAN	5-star
CHP1_HUMAN	PLCG2_HUMAN	5-star
CHP1_HUMAN	SL9A5_HUMAN	5-star
CHP1_HUMAN	CALM_HUMAN	5-star
CHP1_HUMAN	CALL5_HUMAN	5-star
CHP1_HUMAN	CALL6_HUMAN	5-star
CHP1_HUMAN	PLCB1_HUMAN	5-star
CHP1_HUMAN	PLCB2_HUMAN	5-star
CHP1_HUMAN	PLCB3_HUMAN	5-star
CHP1_HUMAN	PLCB4_HUMAN	5-star
CHP1_HUMAN	NFAT5_HUMAN	5-star
CHP1_HUMAN	APC7_HUMAN	5-star
CHP1_HUMAN	NFAC2_HUMAN	5-star
CHP1_HUMAN	ANC2_HUMAN	5-star
CHP1_HUMAN	APC10_HUMAN	5-star
CHP1_HUMAN	APC11_HUMAN	5-star
CHP1_HUMAN	APC13_HUMAN	5-star
CHP1_HUMAN	APC1_HUMAN	5-star
CHP1_HUMAN	APC4_HUMAN	5-star
CHP1_HUMAN	APC5_HUMAN	5-star
CHP1_HUMAN	BAD_HUMAN	5-star
CHP1_HUMAN	CDC16_HUMAN	5-star
CHP1_HUMAN	CDC20_HUMAN	5-star
CHP1_HUMAN	CDC23_HUMAN	5-star
CHP1_HUMAN	CDC26_HUMAN	5-star
CHP1_HUMAN	CDC27_HUMAN	5-star
CHP1_HUMAN	NFAC1_HUMAN	5-star
CHP1_HUMAN	NFAC3_HUMAN	5-star
CHP1_HUMAN	NFAC4_HUMAN	5-star
CHP2_HUMAN	SL9A3_HUMAN	5-star
CHP2_HUMAN	SL9A2_HUMAN	5-star
CHP2_HUMAN	SL9A4_HUMAN	5-star
CHP2_HUMAN	SL9A5_HUMAN	5-star
CHP2_HUMAN	SL9A1_HUMAN	5-star
CHP2_HUMAN	PLCG1_HUMAN	5-star
CHP2_HUMAN	PLCG2_HUMAN	5-star
CHP2_HUMAN	CALM_HUMAN	5-star
CHP2_HUMAN	CALL3_HUMAN	5-star
CHP2_HUMAN	PLCB1_HUMAN	5-star
CHP2_HUMAN	PLCB2_HUMAN	5-star
CHP2_HUMAN	PLCB3_HUMAN	5-star
CHP2_HUMAN	PLCB4_HUMAN	5-star
CHP2_HUMAN	ANC2_HUMAN	5-star
CHP2_HUMAN	APC10_HUMAN	5-star
CHP2_HUMAN	APC11_HUMAN	5-star
CHP2_HUMAN	APC13_HUMAN	5-star
CHP2_HUMAN	APC1_HUMAN	5-star
CHP2_HUMAN	APC4_HUMAN	5-star
CHP2_HUMAN	APC5_HUMAN	5-star
CHP2_HUMAN	APC7_HUMAN	5-star
CHP2_HUMAN	BAD_HUMAN	5-star
CHP2_HUMAN	CALL5_HUMAN	5-star
CHP2_HUMAN	CALL6_HUMAN	5-star
CHP2_HUMAN	CDC16_HUMAN	5-star
CHP2_HUMAN	CDC20_HUMAN	5-star
CHP2_HUMAN	CDC23_HUMAN	5-star
CHP2_HUMAN	CDC26_HUMAN	5-star
CHP2_HUMAN	CDC27_HUMAN	5-star
CHP2_HUMAN	NFAC1_HUMAN	5-star
CHP2_HUMAN	NFAC2_HUMAN	5-star
CHP2_HUMAN	NFAC3_HUMAN	5-star
CHP2_HUMAN	NFAC4_HUMAN	5-star
CHP2_HUMAN	NFAT5_HUMAN	5-star
CYC_HUMAN	COX42_HUMAN	5-star
CYC_HUMAN	HSPB1_HUMAN	5-star
CYC_HUMAN	QCR1_HUMAN	5-star
CYC_HUMAN	APAF_HUMAN	5-star
CYC_HUMAN	CASP9_HUMAN	5-star
CYC_HUMAN	B2CL1_HUMAN	5-star
CYC_HUMAN	CBPC1_HUMAN	5-star
CYC_HUMAN	NDOR1_HUMAN	5-star
CYC_HUMAN	NB5R1_HUMAN	5-star
CYC_HUMAN	NB5R3_HUMAN	5-star
CYC_HUMAN	RBX2_HUMAN	5-star
CYC_HUMAN	CY1_HUMAN	5-star
CYC_HUMAN	BCL2_HUMAN	5-star
CYC_HUMAN	ZPR1_HUMAN	5-star
CYC_HUMAN	BCLX_HUMAN	5-star
CYC_HUMAN	BID_HUMAN	5-star
CYC_HUMAN	CASP3_HUMAN	5-star
CYC_HUMAN	CYB5_HUMAN	5-star
CYC_HUMAN	BAK2_HUMAN	5-star
CYC_HUMAN	SHC1_HUMAN	5-star
CYC_HUMAN	VDAC1_HUMAN	5-star
CYC_HUMAN	HSP7C_HUMAN	5-star
CYC_HUMAN	KC1G2_HUMAN	5-star
CYC_HUMAN	SYUA_HUMAN	5-star
CYC_HUMAN	VDAC2_HUMAN	5-star
CYC_HUMAN	BAX_HUMAN	5-star
CYC_HUMAN	NCB5R_HUMAN	5-star
CYC_HUMAN	UQCR1_HUMAN	5-star
CYC_HUMAN	SPNS1_HUMAN	5-star
CYC_HUMAN	ADX_HUMAN	5-star
CYC_HUMAN	SAFB1_HUMAN	5-star
CYC_HUMAN	CASP7_HUMAN	5-star
CYC_HUMAN	NAF1_HUMAN	5-star
CYC_HUMAN	R144B_HUMAN	5-star
CYC_HUMAN	BAXA_HUMAN	5-star
CYC_HUMAN	PP2AA_HUMAN	5-star
CYC_HUMAN	PDCD8_HUMAN	5-star
CYC_HUMAN	PP2BA_HUMAN	5-star
CYC_HUMAN	PP1A_HUMAN	5-star
CYC_HUMAN	PP2BB_HUMAN	5-star
CYC_HUMAN	PP1B_HUMAN	5-star
CYC_HUMAN	PP1G_HUMAN	5-star
CYC_HUMAN	MYPT1_HUMAN	5-star
CYC_HUMAN	PP2AB_HUMAN	5-star
CYC_HUMAN	CANB1_HUMAN	5-star
CYC_HUMAN	CNEP1_HUMAN	5-star
DAXX_HUMAN	ANDR_HUMAN	5-star
DAXX_HUMAN	CD2A1_HUMAN	5-star
DAXX_HUMAN	CD2A2_HUMAN	5-star
DAXX_HUMAN	FRIH_HUMAN	5-star
DAXX_HUMAN	H33_HUMAN	5-star
DAXX_HUMAN	H4_HUMAN	5-star
DAXX_HUMAN	M3K5_HUMAN	5-star
DAXX_HUMAN	RASF1_HUMAN	5-star
DAXX_HUMAN	SUMO2_HUMAN	5-star
DAXX_HUMAN	TNR6_HUMAN	5-star
DAXX_HUMAN	UBC_HUMAN	5-star
DAXX_HUMAN	UBP7_HUMAN	5-star
DAXX_HUMAN	H31_HUMAN	5-star
DAXX_HUMAN	TF7L2_HUMAN	5-star
DAXX_HUMAN	AIRE_HUMAN	5-star
DAXX_HUMAN	GCR_HUMAN	5-star
DAXX_HUMAN	SUMO1_HUMAN	5-star
DAXX_HUMAN	UBC9_HUMAN	5-star
DAXX_HUMAN	ETS1_HUMAN	5-star
DAXX_HUMAN	DNMT1_HUMAN	5-star
DAXX_HUMAN	STAT3_HUMAN	5-star
DAXX_HUMAN	DAXX_HUMAN	5-star
DAXX_HUMAN	SNW1_HUMAN	5-star
DAXX_HUMAN	HSPB1_HUMAN	5-star
DAXX_HUMAN	AXIN1_HUMAN	5-star
DAXX_HUMAN	P63_HUMAN	5-star
DAXX_HUMAN	MDM2_HUMAN	5-star
DAXX_HUMAN	PARK7_HUMAN	5-star
DAXX_HUMAN	MYH11_HUMAN	5-star
DAXX_HUMAN	TGFR2_HUMAN	5-star
DAXX_HUMAN	HIPK3_HUMAN	5-star
DAXX_HUMAN	TFE2_HUMAN	5-star
DAXX_HUMAN	CREB1_HUMAN	5-star
DAXX_HUMAN	CHIP_HUMAN	5-star
DAXX_HUMAN	PIN1_HUMAN	5-star
DAXX_HUMAN	SENP2_HUMAN	5-star
DAXX_HUMAN	PLAL1_HUMAN	5-star
DAXX_HUMAN	SMAD4_HUMAN	5-star
DAXX_HUMAN	TGFB2_HUMAN	5-star
DAXX_HUMAN	TNFL6_HUMAN	5-star
DAXX_HUMAN	RO52_HUMAN	5-star
DAXX_HUMAN	SL9A1_HUMAN	5-star
DAXX_HUMAN	PML_HUMAN	5-star
DAXX_HUMAN	ITF2_HUMAN	5-star
DAXX_HUMAN	GTR4_HUMAN	5-star
DAXX_HUMAN	PAX5_HUMAN	5-star
DAXX_HUMAN	HGFL_HUMAN	5-star
DAXX_HUMAN	TS101_HUMAN	5-star
DAXX_HUMAN	CAH12_HUMAN	5-star
DAXX_HUMAN	HSF1_HUMAN	5-star
DAXX_HUMAN	HIPK1_HUMAN	5-star
DAXX_HUMAN	ATRX_HUMAN	5-star
DAXX_HUMAN	UBE2I_HUMAN	5-star
DAXX_HUMAN	RL13_HUMAN	5-star
DAXX_HUMAN	HDAC2_HUMAN	5-star
DAXX_HUMAN	RELB_HUMAN	5-star
DAXX_HUMAN	DMAP1_HUMAN	5-star
DAXX_HUMAN	HIPK2_HUMAN	5-star
DAXX_HUMAN	SPOP_HUMAN	5-star
DAXX_HUMAN	TNR1A_HUMAN	5-star
DAXX_HUMAN	P53_HUMAN	5-star
DAXX_HUMAN	BTBD6_HUMAN	5-star
DAXX_HUMAN	PAIRB_HUMAN	5-star
DAXX_HUMAN	P73_HUMAN	5-star
DAXX_HUMAN	CENPC_HUMAN	5-star
DAXX_HUMAN	PAX3_HUMAN	5-star
DAXX_HUMAN	DAPK3_HUMAN	5-star
DAXX_HUMAN	CFLAR_HUMAN	5-star
DAXX_HUMAN	DEK_HUMAN	5-star
DAXX_HUMAN	HDAC1_HUMAN	5-star
DAXX_HUMAN	TRI27_HUMAN	5-star
DAXX_HUMAN	UBB_HUMAN	5-star
DAXX_HUMAN	DNM3A_HUMAN	5-star
DAXX_HUMAN	CUL3_HUMAN	5-star
DAXX_HUMAN	CDC20_HUMAN	5-star
DAXX_HUMAN	MP2K7_HUMAN	5-star
DAXX_HUMAN	HABP4_HUMAN	5-star
DAXX_HUMAN	CBP_HUMAN	5-star
DAXX_HUMAN	BUB1B_HUMAN	5-star
DAXX_HUMAN	CYTSB_HUMAN	5-star
DAXX_HUMAN	DBF4A_HUMAN	5-star
DAXX_HUMAN	FZR_HUMAN	5-star
DAXX_HUMAN	HSPB2_HUMAN	5-star
DAXX_HUMAN	IMA3_HUMAN	5-star
DAXX_HUMAN	MD2L1_HUMAN	5-star
DAXX_HUMAN	PDCD4_HUMAN	5-star
