Node	Degree	R[0]	R[0] Rank	R[N]	R[N] Ranking	
EIF3F	2.00	1.88	211	0.00206	127
SIRPA	2.00	1.95	203	0.00119	269
CASP2	4.00	3.61	133	0.00147	235
CYP17A1	2.00	1.79	228	0.00111	290
HSD11B2	1.00	0.93	304	0.00100	308
S100A2	1.00	0.99	270	0.00070	372
PAX5	3.00	2.69	174	0.00209	123
ITPR2	1.00	0.83	370	0.00133	259
INPP5A	2.00	1.66	250	0.00244	72
HIST1H1C	1.00	0.87	333	0.00073	366
SMN1	3.00	2.82	163	0.00165	205
XRCC4	1.00	0.95	298	0.00080	347
ALDOB	1.00	0.87	329	0.00186	155
KHK	1.00	0.87	330	0.00186	156
TAX1BP1	1.00	0.90	317	0.00074	362
PAX3	1.00	0.92	307	0.00081	343
PRLR	2.00	1.83	220	0.00216	110
ITPKC	1.00	0.84	359	0.00133	258
HLA-B*40	1.00	0.82	374	0.00098	315
CGA	2.00	1.88	212	0.00117	277
NFYC	2.00	1.65	255	0.00114	285
LTB	1.00	0.91	315	0.00084	334
LAMA3	1.00	0.98	277	0.00243	74
LAMC2	1.00	0.98	276	0.00243	73
PRKCH	2.00	1.63	262	0.00093	323
AUH	1.00	0.81	389	0.00163	210
HMGCS2	1.00	0.81	390	0.00163	211
PNPT1	2.00	1.66	249	0.00133	257
NME3	3.00	2.51	191	0.00171	185
CHAF1B	1.00	0.96	286	0.00108	294
CBX5	2.00	1.77	233	0.00167	200
GPKOW	1.00	0.98	274	0.00078	350
SND1	1.00	0.88	325	0.00081	344
PRG2	1.00	0.98	275	0.00126	267
CD3G	4.00	3.37	147	0.00192	148
PRKAB1	1.00	0.96	289	0.00070	373
IMPA1	1.00	0.81	384	0.00164	208
INPP4B	1.00	0.81	385	0.00164	209
ST3GAL3	1.00	0.84	360	0.00072	368
ANKRD2	1.00	0.86	336	0.00068	379
GALT	1.00	0.95	295	0.00223	101
UGP2	1.00	0.95	296	0.00223	102
DUSP2	1.00	0.86	337	0.00064	392
BTG2	1.00	0.87	331	0.00068	378
IL6ST	5.00	4.56	98	0.00214	112
PTPRF	3.00	2.84	157	0.00195	142
PPFIA1	1.00	0.98	281	0.00093	325
FHL3	1.00	0.88	328	0.00187	154
KLF3	1.00	0.88	327	0.00187	153
EOMES	3.00	2.65	178	0.00151	226
TWIST1	1.00	0.89	321	0.00191	150
MSX2	1.00	0.89	320	0.00191	149
ETV4	1.00	0.81	383	0.00068	380
